grp,bp,Bd,chunk,tgt,note
A,1,8,2040,2048,悬崖左档
A,1,8,2041,2049,悬崖右缘
A,1,64,1984,2048,悬崖左档
A,1,64,1985,2049,悬崖右缘
A,1,105,1943,2048,悬崖左档
A,1,105,1944,2049,悬崖右缘
A,1,8,4088,4096,eager档
A,1,64,4032,4096,eager档
B,1,8,3064,3072,eager中点
B,1,8,6136,6144,eager中点
B,1,8,496,504,graph中点
B,1,8,1272,1280,graph中点2
B,1,64,3008,3072,eager中点
B,1,64,6080,6144,eager中点
B,1,64,440,504,graph中点
B,1,64,1216,1280,graph中点2
B,1,105,2967,3072,eager中点
B,1,105,6039,6144,eager中点
B,1,105,399,504,graph中点
B,1,105,1175,1280,graph中点2
C锚,2,40,1024,1064,2条512t齐发+池
C锚,4,40,1024,1064,4条256t齐发+池
C,6,40,1014,1054,6条169t齐发+池
C,8,40,1024,1064,8条128t齐发+池
